nombre,sector,ciudad,telefono,address,rating,reviews,website,maps_url,wa_link,wa_mensaje,estado,notas,fecha_contacto
Restaurante NidoBilbao,restaurante,Bilbao,608 10 07 00,"Kalea, Barroeta Aldamar Kalea, 3, Abando, 48001 Bilbao, Bizkaia, España",4.5,1621,https://nidobilbao.com/,https://maps.google.com/?cid=2727555056811529595,https://wa.me/34608100700?text=Hola%20Restaurante%20NidoBilbao%20%F0%9F%91%8B%20Os%20vi%20en%20Bilbao%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola Restaurante NidoBilbao 👋 Os vi en Bilbao y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Asador Bilbao Brasan,restaurante,Bilbao,608 79 72 25,"Henao Kalea, 54, Abando, 48009 Bilbao, Bizkaia, España",4.6,2466,https://asadorbilbaobrasan.com/,https://maps.google.com/?cid=13843697301555748195,https://wa.me/34608797225?text=Hola%20Asador%20Bilbao%20Brasan%20%F0%9F%91%8B%20Os%20vi%20en%20Bilbao%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola Asador Bilbao Brasan 👋 Os vi en Bilbao y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Restaurante Ágape,restaurante,Bilbao,944 16 05 06,"Hernani Kalea, 13, Ibaiondo, 48003 Bilbao, Bizkaia, España",4.7,2371,http://www.restauranteagape.com/,https://maps.google.com/?cid=4452494097375500750,https://wa.me/34944160506?text=Hola%20Restaurante%20%C3%81gape%20%F0%9F%91%8B%20Os%20vi%20en%20Bilbao%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola Restaurante Ágape 👋 Os vi en Bilbao y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
ETXANOBE,restaurante,Bilbao,944 42 10 71,"Calle Juan Ajuriaguerra Kalea, 8, Abando, 48009 Bilbao, Bizkaia, España",4.7,2481,https://etxanobe.com/,https://maps.google.com/?cid=11136646964699188378,https://wa.me/34944421071?text=Hola%20ETXANOBE%20%F0%9F%91%8B%20Os%20vi%20en%20Bilbao%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola ETXANOBE 👋 Os vi en Bilbao y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Restaurante Amaren,restaurante,Bilbao,944 97 89 06,"Diputazio Kalea, 6, Abando, 48009 Bilbao, Bizkaia, España",4.6,9335,http://www.restauranteamaren.es/,https://maps.google.com/?cid=1272291032716419125,https://wa.me/34944978906?text=Hola%20Restaurante%20Amaren%20%F0%9F%91%8B%20Os%20vi%20en%20Bilbao%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola Restaurante Amaren 👋 Os vi en Bilbao y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Talleres Mecánicos Abando,taller mecánico,Bilbao,944 27 05 50,"Egia Jeneralaren Kalea, 18, Abando, 48010 Bilbao, Bizkaia, España",4.7,77,http://www.talleresabando.com/,https://maps.google.com/?cid=9688748714494063103,https://wa.me/34944270550?text=Hola%20Talleres%20Mec%C3%A1nicos%20Abando%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Bilbao%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Talleres Mecánicos Abando 👋 Ofrezco a talleres en Bilbao una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Taller Mecánico Miribilla,taller mecánico,Bilbao,946 03 49 51,"Juan Carlos de Gortázar Kalea, 12, Ibaiondo, 48003 Bilbao, Bizkaia, España",4.5,92,,https://maps.google.com/?cid=1070636484781269775,https://wa.me/34946034951?text=Hola%20Taller%20Mec%C3%A1nico%20Miribilla%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Bilbao%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Taller Mecánico Miribilla 👋 Ofrezco a talleres en Bilbao una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Midas BILBAO/Calle Sabino Arana,taller mecánico,Bilbao,946 89 96 48,"Sabino Arana Etorbidea, 19, Abando, 48013 Bilbao, Bizkaia, España",3.8,240,https://www.midas.es/talleres-coche-moto-midas/pais-vasco/vizcaya/bilbao/bilbaocalle-sabino-arana_3609,https://maps.google.com/?cid=10386061961495969487,https://wa.me/34946899648?text=Hola%20Midas%20BILBAO%2FCalle%20Sabino%20Arana%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Bilbao%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Midas BILBAO/Calle Sabino Arana 👋 Ofrezco a talleres en Bilbao una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Talleres LMP - Bosch Car Service,taller mecánico,Bilbao,944 01 09 26,"Junto a Mercadona, Carr. Bilbao-Galdakao, 6A, Edificio Metroalde, 48004 Bilbao, Vizcaya, España",4.5,149,https://www.tallereslmp.com/,https://maps.google.com/?cid=1216614071971726350,https://wa.me/34944010926?text=Hola%20Talleres%20LMP%20-%20Bosch%20Car%20Service%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Bilbao%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Talleres LMP - Bosch Car Service 👋 Ofrezco a talleres en Bilbao una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Garaje Saez,taller mecánico,Bilbao,944 22 27 51,"Urkixo Zumarkalea, 29, Abando, 48008 Bilbao, Bizkaia, España",5,44,,https://maps.google.com/?cid=4257817470049302028,https://wa.me/34944222751?text=Hola%20Garaje%20Saez%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Bilbao%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Garaje Saez 👋 Ofrezco a talleres en Bilbao una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Esencia Estética - Bilbao | Medicina Estética y Depilación Láser,estética,Bilbao,688 73 43 67,"Urkixo Zumarkalea, 96, Basurtu-Zorrotza, 48013 Bilbao, Bizkaia, España",4.8,394,https://esenciaestetica.com/centros-de-medicina-estetica/bilbao/,https://maps.google.com/?cid=7019453253877261105,https://wa.me/34688734367?text=Hola%20Esencia%20Est%C3%A9tica%20-%20Bilbao%20%7C%20Medicina%20Est%C3%A9tica%20y%20Depilaci%C3%B3n%20L%C3%A1ser%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Bilbao.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Esencia Estética - Bilbao | Medicina Estética y Depilación Láser 👋 Vi vuestro centro en Bilbao. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Juana Sustacha. Centro de estética. Centro de belleza.,estética,Bilbao,623 16 96 46,"Heros Kalea, 21, Abando, 48009 Bilbao, Bizkaia, España",4.9,86,https://www.juanasustacha.com/,https://maps.google.com/?cid=5007859197008712778,https://wa.me/34623169646?text=Hola%20Juana%20Sustacha.%20Centro%20de%20est%C3%A9tica.%20Centro%20de%20belleza.%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Bilbao.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Juana Sustacha. Centro de estética. Centro de belleza. 👋 Vi vuestro centro en Bilbao. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Dra.Nuria Aira | Clínica Medicina Estética y Láser Bilbao,estética,Bilbao,944 39 69 45,"Máximo Aguirre Kalea, 12, entresuelo derecha-izquierda, Abando, 48011 Bilbao, Bizkaia, España",5,277,http://www.dranuriaaira.es/,https://maps.google.com/?cid=14864917654337337092,https://wa.me/34944396945?text=Hola%20Dra.Nuria%20Aira%20%7C%20Cl%C3%ADnica%20Medicina%20Est%C3%A9tica%20y%20L%C3%A1ser%20Bilbao%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Bilbao.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Dra.Nuria Aira | Clínica Medicina Estética y Láser Bilbao 👋 Vi vuestro centro en Bilbao. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
CALA Estética Avanzada,estética,Bilbao,946 96 45 80,"Colón de Larreátegui K., 41, Abando, 48009 Bilbao, Bizkaia, España",4.8,152,http://calaestetica.com/,https://maps.google.com/?cid=9621836803228103505,https://wa.me/34946964580?text=Hola%20CALA%20Est%C3%A9tica%20Avanzada%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Bilbao.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola CALA Estética Avanzada 👋 Vi vuestro centro en Bilbao. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Centro De Estética María María,estética,Bilbao,944 27 87 73,"C. María Díaz de Haro, 50, Bajo, Abando, 48010 Bilbao, Vizcaya, España",4.9,47,http://www.esteticamariamariabilbao.es/,https://maps.google.com/?cid=9126408496418854910,https://wa.me/34944278773?text=Hola%20Centro%20De%20Est%C3%A9tica%20Mar%C3%ADa%20Mar%C3%ADa%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Bilbao.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Centro De Estética María María 👋 Vi vuestro centro en Bilbao. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Fitness Park Bilbao - Zubiarte,gimnasio,Bilbao,654 13 19 58,"Leizaola Lehendakariaren Kalea, 2, Abando, 48011 Bilbao, Bizkaia, España",4.8,711,https://www.fitnesspark.es/club/bilbao-zubiarte/,https://maps.google.com/?cid=14416488585489997597,https://wa.me/34654131958?text=Hola%20Fitness%20Park%20Bilbao%20-%20Zubiarte%20%F0%9F%91%8B%20Vi%20vuestro%20gimnasio%20en%20Bilbao.%20Ofrezco%20una%20IA%20que%20atiende%20llamadas%2024h%3A%20altas%2C%20horarios%2C%20clases.%20Los%20clientes%20llaman%20cuando%20quieren%2C%20vosotros%20no%20perd%C3%A9is%20ninguna%20alta.%20%C2%BFTe%20cuento%20en%205%20min%3F,"Hola Fitness Park Bilbao - Zubiarte 👋 Vi vuestro gimnasio en Bilbao. Ofrezco una IA que atiende llamadas 24h: altas, horarios, clases. Los clientes llaman cuando quieren, vosotros no perdéis ninguna alta. ¿Te cuento en 5 min?",,,
Fitness Park Bilbao-Intermodal,gimnasio,Bilbao,695 60 85 52,"C. Gurtubay, 1, Planta 1, Basurto-Zorroza, 48013 Bilbao, Vizcaya, España",4.5,1952,https://www.fitnesspark.es/club/bilbao-intermodal/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=Bilbao-Intermodal&utm_content=Yext,https://maps.google.com/?cid=14562121151659945878,https://wa.me/34695608552?text=Hola%20Fitness%20Park%20Bilbao-Intermodal%20%F0%9F%91%8B%20Vi%20vuestro%20gimnasio%20en%20Bilbao.%20Ofrezco%20una%20IA%20que%20atiende%20llamadas%2024h%3A%20altas%2C%20horarios%2C%20clases.%20Los%20clientes%20llaman%20cuando%20quieren%2C%20vosotros%20no%20perd%C3%A9is%20ninguna%20alta.%20%C2%BFTe%20cuento%20en%205%20min%3F,"Hola Fitness Park Bilbao-Intermodal 👋 Vi vuestro gimnasio en Bilbao. Ofrezco una IA que atiende llamadas 24h: altas, horarios, clases. Los clientes llaman cuando quieren, vosotros no perdéis ninguna alta. ¿Te cuento en 5 min?",,,
Gimnasio VivaGym Abando,gimnasio,Bilbao,,"José María Olavarri Kalea, 1, Abando, 48001 Bilbao, Bizkaia, España",4.1,678,https://www.vivagym.com/es-es/gimnasios/vizcaya/bilbao/abando/?utm_campaign=250922_es_gmb_conversion_generic_abando&utm_medium=organic&utm_source=gmb,https://maps.google.com/?cid=7035208058775258503,,(sin teléfono — buscar manualmente),,,
Fitness Park Bilbao Bolueta,gimnasio,Bilbao,646 79 06 52,"Bilbao-Galdakao Errepidea, 18, 48004 Bilbao, Bizkaia, España",4.8,691,https://www.fitnesspark.es/club/bilbao-bolueta/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=Bilbao-Bolueta&utm_content=Yext,https://maps.google.com/?cid=10115160106602779629,https://wa.me/34646790652?text=Hola%20Fitness%20Park%20Bilbao%20Bolueta%20%F0%9F%91%8B%20Vi%20vuestro%20gimnasio%20en%20Bilbao.%20Ofrezco%20una%20IA%20que%20atiende%20llamadas%2024h%3A%20altas%2C%20horarios%2C%20clases.%20Los%20clientes%20llaman%20cuando%20quieren%2C%20vosotros%20no%20perd%C3%A9is%20ninguna%20alta.%20%C2%BFTe%20cuento%20en%205%20min%3F,"Hola Fitness Park Bilbao Bolueta 👋 Vi vuestro gimnasio en Bilbao. Ofrezco una IA que atiende llamadas 24h: altas, horarios, clases. Los clientes llaman cuando quieren, vosotros no perdéis ninguna alta. ¿Te cuento en 5 min?",,,
